description;html_description;name;release_date;duration;url_imagem;link_spotify;nome_podcast
A espera foi longa, mas finalmente o bigodudo mais famoso dos videogames recebeu uma nova aventura nos moldes que o consagrou. Prometendo muita criatividade, surpresas e modos diferentes de se jogar, Super Mario Bros. Wonder, afinal, cumpre as expectativas? Neste UP Revisa, Dan Schettini, Marcia Effect, Marcellus Vinícius e Cardoso conversam sobre o novo exclusivo (e fenomenal) do Nintendo Switch!  Siga a gente:Dan Schettini: ⁠⁠https://twitter.com/joga_dan⁠⁠Marcia Effect: ⁠⁠https://twitter.com/trostes⁠⁠Cardoso: ⁠⁠https://twitter.com/cardoso122⁠⁠Marcellus Vinícius: ⁠⁠https://twitter.com/Marcellus_V⁠⁠ Siga o UP:⁠⁠Catarse⁠⁠ | ⁠⁠Twitter⁠⁠ | ⁠⁠Twitch⁠⁠ | ⁠⁠Instagram⁠⁠ | ⁠⁠Discord⁠⁠ Contato comercial: contato@somosup.com  ---   Send in a voice message: https://podcasters.spotify.com/pod/show/segueoup/message;"<p>A espera foi longa, mas finalmente o bigodudo mais famoso dos videogames recebeu uma nova aventura nos moldes que o consagrou. Prometendo muita criatividade, surpresas e modos diferentes de se jogar, Super Mario Bros. Wonder, afinal, cumpre as expectativas? Neste UP Revisa, Dan Schettini, Marcia Effect, Marcellus Vinícius e Cardoso conversam sobre o novo exclusivo (e fenomenal) do Nintendo Switch!</p><br/><p><br /></p><br/><p>Siga a gente:Dan Schettini: <a href=""https://twitter.com/joga_dan"" rel=""nofollow"">⁠⁠https://twitter.com/joga_dan⁠⁠</a>Marcia Effect: <a href=""https://twitter.com/trostes"" rel=""nofollow"">⁠⁠https://twitter.com/trostes⁠⁠</a>Cardoso: <a href=""https://twitter.com/cardoso122"" rel=""nofollow"">⁠⁠https://twitter.com/cardoso122⁠⁠</a>Marcellus Vinícius: <a href=""https://twitter.com/Marcellus_V"" rel=""nofollow"">⁠⁠https://twitter.com/Marcellus_V⁠⁠</a></p><br/><p>Siga o UP:<a href=""https://www.catarse.me/up"" rel=""nofollow"">⁠⁠Catarse⁠⁠</a> | <a href=""https://twitter.com/segueoup"" rel=""nofollow"">⁠⁠Twitter⁠⁠</a> | <a href=""https://twitch.tv/segueoup"" rel=""nofollow"">⁠⁠Twitch⁠⁠</a> | <a href=""https://www.instagram.com/segueoup"" rel=""nofollow"">⁠⁠Instagram⁠⁠</a> | <a href=""https://discord.gg/JHqKyumRah"" rel=""nofollow"">⁠⁠Discord⁠⁠</a></p><br/><p>Contato comercial: contato&#64;somosup.com</p><br/>--- <br/>Send in a voice message: https://podcasters.spotify.com/pod/show/segueoup/message";#195 - Super Mario Bros. Wonder;2023-11-01;74.44505000000001;https://i.scdn.co/image/ab6765630000ba8a3282a017001dc73fe1ca519e;https://open.spotify.com/episode/1irVUPNwhcM67hfq4rvr7p;UP
O que te influencia a não gostar de um jogo? O disse-me-disse da internet? A avaliação da crítica? Ou você é do tipo que paga pra ver? Neste episódio, nos reunimos para relembrar alguns jogos odiados, mas que amamos!  UP Indica: Marcellus: Canal Maxwell ThuthuCardoso: Mario Wonder + BGSMarcia: True BloodDan: Sonic Superstars  Siga a gente:Dan Schettini: ⁠https://twitter.com/joga_dan⁠Marcia Effect: ⁠https://twitter.com/trostes⁠Cardoso: ⁠https://twitter.com/cardoso122⁠Marcellus Vinícius: ⁠https://twitter.com/Marcellus_V⁠ Siga o UP:⁠Catarse⁠ | ⁠Twitter⁠ | ⁠Twitch⁠ | ⁠Instagram⁠ | ⁠Discord⁠ Contato comercial: contato@somosup.com  ---   Send in a voice message: https://podcasters.spotify.com/pod/show/segueoup/message;"<p>O que te influencia a não gostar de um jogo? O disse-me-disse da internet? A avaliação da crítica? Ou você é do tipo que paga pra ver? Neste episódio, nos reunimos para relembrar alguns jogos odiados, mas que amamos!</p><br/><p><br/>UP Indica: Marcellus: Canal Maxwell ThuthuCardoso: Mario Wonder &#43; BGSMarcia: True BloodDan: Sonic Superstars<br/></p><br/><p>Siga a gente:Dan Schettini: <a href=""https://twitter.com/joga_dan"" rel=""nofollow"">⁠https://twitter.com/joga_dan⁠</a>Marcia Effect: <a href=""https://twitter.com/trostes"" rel=""nofollow"">⁠https://twitter.com/trostes⁠</a>Cardoso: <a href=""https://twitter.com/cardoso122"" rel=""nofollow"">⁠https://twitter.com/cardoso122⁠</a>Marcellus Vinícius: <a href=""https://twitter.com/Marcellus_V"" rel=""nofollow"">⁠https://twitter.com/Marcellus_V⁠</a></p><br/><p>Siga o UP:<a href=""https://www.catarse.me/up"" rel=""nofollow"">⁠Catarse⁠</a> | <a href=""https://twitter.com/segueoup"" rel=""nofollow"">⁠Twitter⁠</a> | <a href=""https://twitch.tv/segueoup"" rel=""nofollow"">⁠Twitch⁠</a> | <a href=""https://www.instagram.com/segueoup"" rel=""nofollow"">⁠Instagram⁠</a> | <a href=""https://discord.gg/JHqKyumRah"" rel=""nofollow"">⁠Discord⁠</a></p><br/><p>Contato comercial: contato&#64;somosup.com</p><br/>--- <br/>Send in a voice message: https://podcasters.spotify.com/pod/show/segueoup/message";#194 - Jogos odiados que amamos;2023-10-25;81.77066666666666;https://i.scdn.co/image/ab6765630000ba8a620e08c1cf22e7d9a7ed1411;https://open.spotify.com/episode/36sqzUzxnb5Td1oSsTQC2L;UP
Já em ritmo de final de ano, seguimos acompanhando os muitos lançamentos que 2023 nos reserva - e tirando pendências! Para isso, recebemos Raquel Segal para um papo sobre o imenso Baldur’s Gate 3 e ainda trouxemos impressões sobre o novíssimo Assassin’s Creed Mirage! Siga a gente:Dan Schettini: https://twitter.com/joga_danMarcia Effect: https://twitter.com/trostesCardoso: https://twitter.com/cardoso122Marcellus Vinícius: https://twitter.com/Marcellus_V Siga o UP:Catarse | Twitter | Twitch | Instagram | Discord Contato comercial: contato@somosup.com  ---   Send in a voice message: https://podcasters.spotify.com/pod/show/segueoup/message;"<p>Já em ritmo de final de ano, seguimos acompanhando os muitos lançamentos que 2023 nos reserva - e tirando pendências! Para isso, recebemos Raquel Segal para um papo sobre o imenso Baldur’s Gate 3 e ainda trouxemos impressões sobre o novíssimo Assassin’s Creed Mirage!</p><br/><p>Siga a gente:<br />Dan Schettini: <a href=""https://twitter.com/joga_dan"" rel=""nofollow"">https://twitter.com/joga_dan</a><br />Marcia Effect: <a href=""https://twitter.com/trostes"" rel=""nofollow"">https://twitter.com/trostes</a><br />Cardoso: <a href=""https://twitter.com/cardoso122"" rel=""nofollow"">https://twitter.com/cardoso122</a><br />Marcellus Vinícius: <a href=""https://twitter.com/Marcellus_V"" rel=""nofollow"">https://twitter.com/Marcellus_V</a></p><br/><p>Siga o UP:<br /><a href=""https://www.catarse.me/up"" rel=""nofollow"">Catarse</a> | <a href=""https://twitter.com/segueoup"" rel=""nofollow"">Twitter</a> | <a href=""https://twitch.tv/segueoup"" rel=""nofollow"">Twitch</a> | <a href=""https://www.instagram.com/segueoup"" rel=""nofollow"">Instagram</a> | <a href=""https://discord.gg/JHqKyumRah"" rel=""nofollow"">Discord</a></p><br/><p>Contato comercial: contato&#64;somosup.com</p><br/>--- <br/>Send in a voice message: https://podcasters.spotify.com/pod/show/segueoup/message";#193 - Baldur's Gate 3 e Assassin's Creed Mirage;2023-10-18;80.53768333333333;https://i.scdn.co/image/ab6765630000ba8a69608c561c1e1f696f9e686b;https://open.spotify.com/episode/4GGUmGZsWgih8PsneeqCVU;UP
Entramos em outubro, mais conhecido como o mês de lançamento de todos os jogos do planeta Terra e estamos jogando muitas coisas por aqui! Neste UPando, nos reunimos para um papo sobre Phantom Liberty e a atualização 2.0 de Cyberpunk 2077, além de fazermos um mergulho no reboot da clássica franquia da Netherrealm através de Mortal Kombat 1!  UP Indica: Marcellus: CocoonCardoso: falling or flying - Jorja SmithMarcia: Adoção de gatosDan: Pokémon Scarlet & Violet: The Teal Mask  Siga a gente:Dan Schettini: https://twitter.com/joga_danMarcia Effect: https://twitter.com/trostesCardoso: https://twitter.com/cardoso122Marcellus Vinícius: https://twitter.com/Marcellus_V Siga o UP:Catarse | Twitter | Twitch | Instagram | Discord Contato comercial: contato@somosup.com  ---   Send in a voice message: https://podcasters.spotify.com/pod/show/segueoup/message;"<p>Entramos em outubro, mais conhecido como o mês de lançamento de todos os jogos do planeta Terra e estamos jogando muitas coisas por aqui! Neste UPando, nos reunimos para um papo sobre Phantom Liberty e a atualização 2.0 de Cyberpunk 2077, além de fazermos um mergulho no reboot da clássica franquia da Netherrealm através de Mortal Kombat 1!</p><br/><p><br/>UP Indica: <br />Marcellus: Cocoon<br />Cardoso: falling or flying - Jorja Smith<br />Marcia: Adoção de gatos<br />Dan: Pokémon Scarlet &amp; Violet: The Teal Mask<br/>Siga a gente:<br />Dan Schettini: <a href=""https://twitter.com/joga_dan"" rel=""nofollow"">https://twitter.com/joga_dan</a><br />Marcia Effect: <a href=""https://twitter.com/trostes"" rel=""nofollow"">https://twitter.com/trostes</a><br />Cardoso: <a href=""https://twitter.com/cardoso122"" rel=""nofollow"">https://twitter.com/cardoso122</a><br />Marcellus Vinícius: <a href=""https://twitter.com/Marcellus_V"" rel=""nofollow"">https://twitter.com/Marcellus_V</a></p><br/><p>Siga o UP:<br /><a href=""https://www.catarse.me/up"" rel=""nofollow"">Catarse</a> | <a href=""https://twitter.com/segueoup"" rel=""nofollow"">Twitter</a> | <a href=""https://twitch.tv/segueoup"" rel=""nofollow"">Twitch</a> | <a href=""https://www.instagram.com/segueoup"" rel=""nofollow"">Instagram</a> | <a href=""https://discord.gg/JHqKyumRah"" rel=""nofollow"">Discord</a></p><br/><p>Contato comercial: contato&#64;somosup.com</p><br/>--- <br/>Send in a voice message: https://podcasters.spotify.com/pod/show/segueoup/message";UPando #07 - Mortal Kombat 1 e Cyberpunk 2077: Phantom Liberty;2023-10-11;71.62513333333332;https://i.scdn.co/image/ab6765630000ba8ad663f8d7e7fdad1014e0117d;https://open.spotify.com/episode/4CuGKPW74Hj6HFcPM5fOxw;UP
Após muita espera, promessas e mistérios, ele finalmente está entre nós. Entregando exploração, customização de naves, um novíssimo universo (literalmente) repleto de segredos, o mais recente RPG da Bethesda é, além de tudo isso, uma experiência com um escopo imenso e que pede, além da curiosidade, muita dedicação. Mas funciona? Neste episódio Dan Schettini e Cardoso se unem a Bruna Penilhas para um papo profundo sobre a jornada intergaláctica em Starfield. Siga a gente:Dan Schettini: https://twitter.com/joga_danMarcia Effect: https://twitter.com/trostesCardoso: https://twitter.com/cardoso122Marcellus Vinícius: https://twitter.com/Marcellus_V Siga o UP:Catarse | Twitter | Twitch | Instagram | Discord Contato comercial: contato@somosup.com  ---   Send in a voice message: https://podcasters.spotify.com/pod/show/segueoup/message;"<p>Após muita espera, promessas e mistérios, ele finalmente está entre nós. Entregando exploração, customização de naves, um novíssimo universo (literalmente) repleto de segredos, o mais recente RPG da Bethesda é, além de tudo isso, uma experiência com um escopo imenso e que pede, além da curiosidade, muita dedicação. Mas funciona? Neste episódio Dan Schettini e Cardoso se unem a Bruna Penilhas para um papo profundo sobre a jornada intergaláctica em Starfield.</p><br/><p>Siga a gente:<br />Dan Schettini: <a href=""https://twitter.com/joga_dan"" rel=""nofollow"">https://twitter.com/joga_dan</a><br />Marcia Effect: <a href=""https://twitter.com/trostes"" rel=""nofollow"">https://twitter.com/trostes</a><br />Cardoso: <a href=""https://twitter.com/cardoso122"" rel=""nofollow"">https://twitter.com/cardoso122</a><br />Marcellus Vinícius: <a href=""https://twitter.com/Marcellus_V"" rel=""nofollow"">https://twitter.com/Marcellus_V</a></p><br/><p>Siga o UP:<br /><a href=""https://www.catarse.me/up"" rel=""nofollow"">Catarse</a> | <a href=""https://twitter.com/segueoup"" rel=""nofollow"">Twitter</a> | <a href=""https://twitch.tv/segueoup"" rel=""nofollow"">Twitch</a> | <a href=""https://www.instagram.com/segueoup"" rel=""nofollow"">Instagram</a> | <a href=""https://discord.gg/JHqKyumRah"" rel=""nofollow"">Discord</a></p><br/><p>Contato comercial: contato&#64;somosup.com</p><br/>--- <br/>Send in a voice message: https://podcasters.spotify.com/pod/show/segueoup/message";UP Revisa #05 - Starfield;2023-10-04;115.4081;https://i.scdn.co/image/ab6765630000ba8a3f996d78b0591327ff844c8c;https://open.spotify.com/episode/5jYGeFS1V1ov3K1rcSzWde;UP
Após rolar um dos maiores vazamentos da história recente da indústria, os segredos e planos da divisão de games da Microsoft foram para a boca do povo. Novos modelos do Series X|S? Temos! Novo Xbox? Temos! Novas aquisições? Óbvio! Fallout, Dishonored, novo controle... tem de tudo um pouco no coração de Phil Spencer! Neste episódio Dan Schettini, Cardoso, Marcia Effect e Marcellus Vinicius se reúnem para discutir o vazamento, o futuro e o presente do Xbox.  UP Indica:Marcellus: HidrataçãoCardoso: Cyberpunk 2077: Phantom LibertyMarcia: Não esqueça do seu próprio aniversárioDan: Nutrição e Sanduíche de Frango  Siga a gente:Dan Schettini: https://twitter.com/joga_danMarcia Effect: https://twitter.com/trostesCardoso: https://twitter.com/cardoso122Marcellus Vinícius: https://twitter.com/Marcellus_V Siga o UP:Catarse | Twitter | Twitch | Instagram | Discord Contato comercial: contato@somosup.com  ---   Send in a voice message: https://podcasters.spotify.com/pod/show/segueoup/message;"<p>Após rolar um dos maiores vazamentos da história recente da indústria, os segredos e planos da divisão de games da Microsoft foram para a boca do povo. Novos modelos do Series X|S? Temos! Novo Xbox? Temos! Novas aquisições? Óbvio! Fallout, Dishonored, novo controle... tem de tudo um pouco no coração de Phil Spencer! Neste episódio Dan Schettini, Cardoso, Marcia Effect e Marcellus Vinicius se reúnem para discutir o vazamento, o futuro e o presente do Xbox.</p><br/><p><br/>UP Indica:<br />Marcellus: Hidratação<br />Cardoso: Cyberpunk 2077: Phantom Liberty<br />Marcia: Não esqueça do seu próprio aniversário<br />Dan: Nutrição e Sanduíche de Frango<br/></p><br/><p>Siga a gente:<br />Dan Schettini: <a href=""https://twitter.com/joga_dan"" rel=""nofollow"">https://twitter.com/joga_dan</a><br />Marcia Effect: <a href=""https://twitter.com/trostes"" rel=""nofollow"">https://twitter.com/trostes</a><br />Cardoso: <a href=""https://twitter.com/cardoso122"" rel=""nofollow"">https://twitter.com/cardoso122</a><br />Marcellus Vinícius: <a href=""https://twitter.com/Marcellus_V"" rel=""nofollow"">https://twitter.com/Marcellus_V</a></p><br/><p>Siga o UP:<br /><a href=""https://www.catarse.me/up"" rel=""nofollow"">Catarse</a> | <a href=""https://twitter.com/segueoup"" rel=""nofollow"">Twitter</a> | <a href=""https://twitch.tv/segueoup"" rel=""nofollow"">Twitch</a> | <a href=""https://www.instagram.com/segueoup"" rel=""nofollow"">Instagram</a> | <a href=""https://discord.gg/JHqKyumRah"" rel=""nofollow"">Discord</a></p><br/><p>Contato comercial: contato&#64;somosup.com</p><br/>--- <br/>Send in a voice message: https://podcasters.spotify.com/pod/show/segueoup/message";#192 - Vazou tudo do Xbox!;2023-09-27;90.53996666666667;https://i.scdn.co/image/ab6765630000ba8a7a9c4dd487448bb6b1faae6b;https://open.spotify.com/episode/0x6kDBp0utr9WNAuN3vKTT;UP
Jogue onde você quiser. Sedutor, né? Esse conceito ficou muito forte com o Game Boy, lá em Mil Novecentos e TV de tubo... só que até hoje tá aqui e não vivemos sem! Pensando nisso, neste episódio, Dan Schettini, Marcellus Vinicius e Cardoso recebem Remedios para um papo sobre a paixão pelos videogames de bolso! Siga a gente:Dan Schettini: https://twitter.com/joga_danMarcia Effect: https://twitter.com/trostesCardoso: https://twitter.com/cardoso122Marcellus Vinícius: https://twitter.com/Marcellus_V Siga o UP:Catarse | Twitter | Twitch | Instagram | Discord Contato comercial: contato@somosup.com   ---   Send in a voice message: https://podcasters.spotify.com/pod/show/segueoup/message;"<p>Jogue onde você quiser. Sedutor, né? Esse conceito ficou muito forte com o Game Boy, lá em Mil Novecentos e TV de tubo... só que até hoje tá aqui e não vivemos sem! Pensando nisso, neste episódio, Dan Schettini, Marcellus Vinicius e Cardoso recebem Remedios para um papo sobre a paixão pelos videogames de bolso!</p><br/><p>Siga a gente:<br />Dan Schettini: <a href=""https://twitter.com/joga_dan"" rel=""nofollow"">https://twitter.com/joga_dan</a><br />Marcia Effect: <a href=""https://twitter.com/trostes"" rel=""nofollow"">https://twitter.com/trostes</a><br />Cardoso: <a href=""https://twitter.com/cardoso122"" rel=""nofollow"">https://twitter.com/cardoso122</a><br />Marcellus Vinícius: <a href=""https://twitter.com/Marcellus_V"" rel=""nofollow"">https://twitter.com/Marcellus_V</a></p><br/><p>Siga o UP:<br /><a href=""https://www.catarse.me/up"" rel=""nofollow"">Catarse</a> | <a href=""https://twitter.com/segueoup"" rel=""nofollow"">Twitter</a> | <a href=""https://twitch.tv/segueoup"" rel=""nofollow"">Twitch</a> | <a href=""https://www.instagram.com/segueoup"" rel=""nofollow"">Instagram</a> | <a href=""https://discord.gg/JHqKyumRah"" rel=""nofollow"">Discord</a></p><br/><p>Contato comercial: contato&#64;somosup.com</p><br/><p><br /></p><br/>--- <br/>Send in a voice message: https://podcasters.spotify.com/pod/show/segueoup/message";#191 - O mundo mágico dos portáteis;2023-09-20;68.98851666666665;https://i.scdn.co/image/ab6765630000ba8a3048978a982ddb4e9e7f43c5;https://open.spotify.com/episode/1y2tWz9xjRNkuplkPwlE3q;UP
A reta final do ano já começou e, com ela, muitos jogos legais estão saindo ao mesmo tempo. No UPando mais recheado de RPGs do ano, nos unimos a Henrique Antero para um papo com as primeiras impressões do audacioso e gigantesco Starfield, o charme robótico da FromSoftware em Armored Core VI: Fires of Rubicon e o nostálgico Sea of Stars! Siga a gente:Dan Schettini: https://twitter.com/joga_danMarcia Effect: https://twitter.com/trostesCardoso: https://twitter.com/cardoso122Marcellus Vinícius: https://twitter.com/Marcellus_V Siga o UP:Catarse | Twitter | Twitch | Instagram | Discord Contato comercial: contato@somosup.com  ---   Send in a voice message: https://podcasters.spotify.com/pod/show/segueoup/message;"<p>A reta final do ano já começou e, com ela, muitos jogos legais estão saindo ao mesmo tempo. No UPando mais recheado de RPGs do ano, nos unimos a Henrique Antero para um papo com as primeiras impressões do audacioso e gigantesco Starfield, o charme robótico da FromSoftware em Armored Core VI: Fires of Rubicon e o nostálgico Sea of Stars!</p><br/><p>Siga a gente:<br />Dan Schettini: <a href=""https://twitter.com/joga_dan"" rel=""nofollow"">https://twitter.com/joga_dan</a><br />Marcia Effect: <a href=""https://twitter.com/trostes"" rel=""nofollow"">https://twitter.com/trostes</a><br />Cardoso: <a href=""https://twitter.com/cardoso122"" rel=""nofollow"">https://twitter.com/cardoso122</a><br />Marcellus Vinícius: <a href=""https://twitter.com/Marcellus_V"" rel=""nofollow"">https://twitter.com/Marcellus_V</a></p><br/><p>Siga o UP:<br /><a href=""https://www.catarse.me/up"" rel=""nofollow"">Catarse</a> | <a href=""https://twitter.com/segueoup"" rel=""nofollow"">Twitter</a> | <a href=""https://twitch.tv/segueoup"" rel=""nofollow"">Twitch</a> | <a href=""https://www.instagram.com/segueoup"" rel=""nofollow"">Instagram</a> | <a href=""https://discord.gg/JHqKyumRah"" rel=""nofollow"">Discord</a></p><br/><p>Contato comercial: contato&#64;somosup.com</p><br/>--- <br/>Send in a voice message: https://podcasters.spotify.com/pod/show/segueoup/message";UPando #06 - Starfield, Armored Core VI e Sea of Stars;2023-09-13;89.55601666666666;https://i.scdn.co/image/ab6765630000ba8a1b6e9802b2ac016856b3df43;https://open.spotify.com/episode/4i7LHby1kQ6AKmP14ERmTG;UP
Você também sente saudades daquela época cheia de descobertas, indecisão e indicações duvidosas que somente uma locadora poderia proporcionar? Então chegou a hora de relembrar com o Disk UP! (Não esqueça de rebobinar este podcast) Siga a gente:Dan Schettini: https://twitter.com/joga_danMarcia Effect: https://twitter.com/trostesCardoso: https://twitter.com/cardoso122Marcellus Vinícius: https://twitter.com/Marcellus_V Siga o UP:Catarse | Twitter | Twitch | Instagram | Discord Contato comercial: contato@somosup.com  ---   Send in a voice message: https://podcasters.spotify.com/pod/show/segueoup/message;"<p>Você também sente saudades daquela época cheia de descobertas, indecisão e indicações duvidosas que somente uma locadora poderia proporcionar? Então chegou a hora de relembrar com o Disk UP! (Não esqueça de rebobinar este podcast)</p><br/><p>Siga a gente:<br />Dan Schettini: <a href=""https://twitter.com/joga_dan"" rel=""nofollow"">https://twitter.com/joga_dan</a><br />Marcia Effect: <a href=""https://twitter.com/trostes"" rel=""nofollow"">https://twitter.com/trostes</a><br />Cardoso: <a href=""https://twitter.com/cardoso122"" rel=""nofollow"">https://twitter.com/cardoso122</a><br />Marcellus Vinícius: <a href=""https://twitter.com/Marcellus_V"" rel=""nofollow"">https://twitter.com/Marcellus_V</a></p><br/><p>Siga o UP:<br /><a href=""https://www.catarse.me/up"" rel=""nofollow"">Catarse</a> | <a href=""https://twitter.com/segueoup"" rel=""nofollow"">Twitter</a> | <a href=""https://twitch.tv/segueoup"" rel=""nofollow"">Twitch</a> | <a href=""https://www.instagram.com/segueoup"" rel=""nofollow"">Instagram</a> | <a href=""https://discord.gg/JHqKyumRah"" rel=""nofollow"">Discord</a></p><br/><p>Contato comercial: contato&#64;somosup.com</p><br/>--- <br/>Send in a voice message: https://podcasters.spotify.com/pod/show/segueoup/message";Disk UP #03 - A época das locadoras;2023-09-11;68.61738333333332;https://i.scdn.co/image/ab6765630000ba8a534a29ed634b17b7a50a2745;https://open.spotify.com/episode/33ulmrPALkIZNxQyFawFAN;UP
Embarcando no hype de Starfield, nos fizemos a pergunta: e quais são os melhores jogos que se passam no espaço? O que é importante para fazer esse tema funcionar além dos clichês? Neste episódio, Cardoso, Marcia Effect e Marcellus Vinicius recebem Lucas Eduard para um papo sobre a magia, mistérios e os grandes jogos espaciais.  Siga a gente:Dan Schettini: https://twitter.com/joga_danMarcia Effect: https://twitter.com/trostesCardoso: https://twitter.com/cardoso122Marcellus Vinícius: https://twitter.com/Marcellus_V Siga o UP:Catarse | Twitter | Twitch | Instagram | Discord Contato comercial: contato@somosup.com  ---   Send in a voice message: https://podcasters.spotify.com/pod/show/segueoup/message;"<p>Embarcando no hype de Starfield, nos fizemos a pergunta: e quais são os melhores jogos que se passam no espaço? O que é importante para fazer esse tema funcionar além dos clichês? Neste episódio, Cardoso, Marcia Effect e Marcellus Vinicius recebem Lucas Eduard para um papo sobre a magia, mistérios e os grandes jogos espaciais. </p><br/><p>Siga a gente:<br />Dan Schettini: <a href=""https://twitter.com/joga_dan"" rel=""nofollow"">https://twitter.com/joga_dan</a><br />Marcia Effect: <a href=""https://twitter.com/trostes"" rel=""nofollow"">https://twitter.com/trostes</a><br />Cardoso: <a href=""https://twitter.com/cardoso122"" rel=""nofollow"">https://twitter.com/cardoso122</a><br />Marcellus Vinícius: <a href=""https://twitter.com/Marcellus_V"" rel=""nofollow"">https://twitter.com/Marcellus_V</a></p><br/><p>Siga o UP:<br /><a href=""https://www.catarse.me/up"" rel=""nofollow"">Catarse</a> | <a href=""https://twitter.com/segueoup"" rel=""nofollow"">Twitter</a> | <a href=""https://twitch.tv/segueoup"" rel=""nofollow"">Twitch</a> | <a href=""https://www.instagram.com/segueoup"" rel=""nofollow"">Instagram</a> | <a href=""https://discord.gg/JHqKyumRah"" rel=""nofollow"">Discord</a></p><br/><p>Contato comercial: contato&#64;somosup.com</p><br/>--- <br/>Send in a voice message: https://podcasters.spotify.com/pod/show/segueoup/message";#190 - Os melhores jogos intergalácticos ;2023-09-06;60.61756666666667;https://i.scdn.co/image/ab6765630000ba8ab462abdbed3a92ef6c222984;https://open.spotify.com/episode/1NktZ5LmglSC4m83TfPpy2;UP
